Färjestad BK,"8,5"
Timrå IK,"7,8"
Luleå Hockey,"7,6"
Växjö Lakers,"7,2"
Skellefteå AIK,"6,6"
Frölunda HC,"6,2"
Leksands IF,"6,1"
Örebro Hockey,"5,5"
Rögle BK,"5,5"
Djurgården Hockey,"5,0"
HV71,"4,6"
Brynäs IF,"4,5"
Linköping HC,"3,4"
Malmö Redhawks,"1,6"
